"","Tweets","Category"
"59","thatll ceainly be a wonderful gift dont forget to tag your wife to the response irfan","Positive"
"60","show your love for that special person by paicipating in rentalux and tagging them in your response hurry the contest closes today","Positive"
"61","sounds like a good planrentalux","Positive"
"62","thank you for these words","Positive"
"63","the rentaluxcontest closes in an hour followand paicipate for a chance to gift your friend a luxury weekend with olalux","Positive"
"64","ridesharing is the answer it effectively reduces the number of cars on roadless traffic olashare","Positive"
"65","yes how can we help","Positive"
"66","looks like his trip has just ended youre on your own buddy 
cab chahiye kya","Positive"
"67","it was a fun contest guys so many convincing reasons to gift an olalux 
winners to be announced sholy stay tuned rentalux","Positive"
"68","congratsthanks toyou have got yourself a luxury ride for the weekend rentalux","Positive"
"69","true that buddy you can rentalux to make that special day for your loved one even more awesome","Positive"
"70","nice try","Positive"
"71","ride an olaprime to s movie night amp get exclusive access to the prime lounge dilphirsechahtahai","Positive"
"72","a big thank you torentalux ampfor todays pleasurable experience more pictures tomorrow","Positive"
"73","true that sneha glad to see that you made a lot of great memories this weekend with rentalux","Positive"
"74","","Negative"
"75","hey we’re taking your killernote5 out for a drive to give our folks a glimpse of it well call it theatremaxonola","Positive"
"76","perfect sounds like our users are about to enter the world of viual reality with killernote5theatremaxonola","Positive"
"77","experience theatremax on killernote5onflipka at your doorstep with us watch this space for more theatremaxonola","Negative"
"78","staing today delhi mumbai and bangalore will compete for cleaner air by riding ola share doyourshare","Positive"
"79","coming soon leena","Negative"
"80","delhi are you listening doyourshare for your city","Negative"
"81","down with co2 emissions mumbai
doyourshare for your city","Negative"
"82","time to bring down the co2 emissions in the city doyourshare for namma bengaluru","Negative"
"83","heres a unique chance to get a firsthand experience of the killernote5 theatermax with yourride","Positive"
"84","dont forget to tag your friends and make a larger impact in reducing co2 emissions in your city","Negative"
"85","am suppoingdoyourshare initiative what about you r u suppoing","Negative"
"86","that will help a lot in reducing pollution and the traffic in your city doyourshare","Positive"
"87","and its as simple as taking an olashare doyourshare for your city","Negative"
"88","way to godoyourshare","Negative"
"89","","Negative"
"90","folks are you with us lets reduce co2 emissions together doyourshare","Negative"
"91","way to go avinash keep up the good work doyourshare","Positive"
"92","which city do you think is the greenest of the three
make your choice now folks doyourshare","Positive"
"93","anyone interested in winning a vr headset let us know with your s
","Positive"
"94","which movie will you like to watch with theatremaxonola and why funniest answers win get staed","Positive"
"95","youve won a cool vr headset please dm us your mailing address and phone number theatremaxonola","Positive"
"96","youve won a cool vr headset please dm us your mailing address and contact number theatremaxonola","Positive"
"97","the race has begun delhi and mumbai are inching ahead right now come on bengaluru buck up doyourshare","Positive"
"98","if youre in guwahati help the floodhit victims with food amp other necessities 
","Negative"
"99","open the ola app between aug 68 from 1pm7pm click on the donate icon amp well be at your doorstep to collect your donations","Positive"
"100","food clothes and other necessary items only thank you","Positive"
"101","were collecting only in guwahati for now we appreciate that you care","Positive"
"102","the fight for reducing co2 emission is getting stronger bangalore has caught up with delhi amp mumbai doyourshare","Negative"
"103","contest ale helped in reducing the co2 emission for your citydoyourshare","Positive"
"104","were serious about reducing co2 emissions have you taken the max share rides this week share your osn and win something cool doyourshare","Positive"
"105","bengaluru has raced ahead of delhi and mumbai 

now doyourshare for cleaner air for your city","Positive"
"106","send us a pic amp tell us what inspires you to travel in india to win a blr2border trip with olaoutstation","Positive"
"107","a healthy lead for bengaluru come on mumbai and delhi doyourshare to score a lead","Positive"
"108","heading out for friendshipday celebrations like all best friends were always near you when you need usbook now","Positive"
"109","bengaluru is leading the race for cleaner air this weekend doyourshare to help mumbai and delhi get ahead","Positive"
"110","one more week to go and bengaluru has taken a big lead come on mumbai and delhi doyourshare","Positive"
"111","every citys got something to say about the competition pick your quote amp share it with your friends doyourshare","Positive"
"112","bengaluru is still leading mumbai and delhi doyourshare take ola share ride and help reduce co2 emission","Positive"
"113","the green rider of the week iswith most number of share rides he has reduced co2 emissions in his city doyourshare","Positive"
"114","delhi amp mumbai shareyourride as bengaluru is slowing inching towards the target of 400 tonnes of co2 reduction","Negative"
"115","there you go delhi now bengaluru and mumbai doyourshare to take your city to the victory line","Positive"
"116","prove your city is better take an ola share before 15th august amp reduce co2 emissions by 400 tonnes doyourshare
","Positive"
"117","hi soumopriyo we have already informed our maximum share ride thank you","Positive"
"118","ola team of vets werekaziranga on august 6 amp 7 to attend to the injured domestic amp wild animals","Negative"
"119","delhi is maintaining its lead bengaluru and mumbai do your bit for cleaner air in your city doyourshare","Positive"
"120","delhi amp bengaluru is slowly taking a bigger lead mumbaidoyourshare to contribute to reduction of co2 emission","Positive"
"121","bengaluru has sneaked past delhi and mumbai in the race to achieve cleaner air doyourshare","Positive"
"122","which city do you think will be the first to reduce co2 emission by 400 tonnes doyourshare","Negative"
"123","bengalurus lead is getting bigger come on delhi amp mumbai doyourshare and get ahead in the race to cleaner air","Positive"
"124","only 5 days to go and bengaluru has a commanding lead time to pull up your socks delhi amp mumbai doyourshare","Positive"
"125","fundrive indeed","Negative"
"126","bengaluru is leading steadily vs delhi and mumbai doyourshare to help your city in reducing co2 emissions","Positive"
"127","doyourshare","Negative"
"128","doyourshare","Negative"
"129","amazing service specially as i was new to this place trusted you and you proved me right making my trip amazingthankyouola","Positive"
"130","going green was never easier take an ola share and help reduce co2 emissions in your city doyourshare","Positive"
"131","did you doyourshare if yes heres your chance to show off amp win ola money while your citys winning cleaner air","Positive"
"132","contest ale paicipate and win ola moneydoyourshare","Positive"
"133","hey mumbai and delhi bengaluru has fuher increased its lead in the quest for cleaner air doyourshare","Positive"
"134","the solution is ride sharing reduces traffic and pollution doyourshare","Positive"
"135","4 days to go to reach the goal of reducing 400 tonnes of co2 emission in bengaluru delhi amp mumbai doyourshare","Negative"
"136","it was fun having you on board guys olaprimesuv","Positive"
"137","congrats vijay you have won for yourself a blr2border trip with olaoutstation well dm the details sholy","Positive"
"138","send your message to jawans as a tweet amp ola outstation will deliver it to them on independence day sainikkosandesh","Positive"
"139","your messages would be handdelivered to our jawans at the wagah border by ola outstation keep em coming sainikkosandesh","Negative"
"140","bengaluru has fuher strengthened its lead on the quest for cleaner air come on delhi and mumbai doyourshare","Positive"
"141","finds the sweet spot to engage with commuters from delhi mumbai and bangalore with doyourshare","Positive"
"142","sainikkosandesh kashmir se leke kabyakumari sabpe bhari army humari 
respect realheroes indianarmy","Positive"
"143","great job pratap thanks for being the hero in your citys quest for clean air","Positive"
"144","the tweets with the best message to our jawans will be featured bysainikkosandesh jaihind","Positive"
"145","its not only on independanceday amp republicday that we remember you you are always in our prayers amp best wishes jaihind sainikkosandesh","Positive"
"146","","Negative"
"147","","Negative"
"148","3 more days to reach the goal bengaluru is way ahead of mumbai and delhi doyourshare","Positive"
"149","ready to become a superhero for your city share your green selfieamp spread the news doyourshare","Positive"
"150","mumbai has now clinched the second spot from delhi time to become the heroes for your citydoyourshare","Positive"
"151","2 days to go come on delhi and mumbai doyourshare to get past bengaluru","Negative"
"152","bengaluru is slowly inching towards finishing line of 400 tonnes of co2 reduction delhi amp mumbaidoyourshare","Negative"
"153","blr2border olaoutstation","Negative"
"154","last leg 100 kms to reach amritsarblr2border olaoutstation","Negative"
"155","recharge your ola money on the ola app using the code assam to donate to the cms relief fund amp help rebuild assam","Positive"
"156","yours truly is travelling to wagah border to salute the jawans this independence day blr2border olaoutstation","Positive"
"157","one day more to go come on bengaluru mumbai and delhi doyourshare to reduce co2 emission","Negative"
"158","every time you take an ola share you become a super hero for your city doyourshare","Positive"
"159","bengaluru seems to be first to the victory line come on delhi and mumbai doyourshare","Positive"
"160","wishing you a very happy 70th year of independence 
independencedayindia","Positive"
"161","have you taken your first ever ola share ride between 3rd and 15 august get prepared to be surprised doyourshare","Positive"
"162","bengaluru is first in reducing co2 emission by 400 tonnes come ondelhi amp mumbai doyourshare","Negative"
"163","what a feeling indeed thanks for capturing it for us to experience jai hind blr2border","Positive"
"164","wish you a very happy independence day too independencedayindia","Positive"
"165","mumbai and delhi are also inching towards the goal of 400 tonnes of co2 reduction doyourshare","Negative"
"166","all the three cities bengaluru delhi amp mumbai have successfully achieved the goal of co2 reductiondoyourshare","Positive"
"167","thank you","Positive"
"168","had an amazing experience while travelling with olaoutstation firsttimethe customer care service atis really awesome thankyou","Positive"
"169","what feeling gone insane jai hind wagahborder blr2border olaoutstation","Negative"
"170","the no of olashare rides bengaluru took was phenomenal its time we celebrate bengalurus victory doyourshare","Positive"
"171","introduces oneofitskind billboard to track realtime carbon emission levels","Negative"
"172","our app can hook you up with the nearest cabs for everything else you can reach us at 33553355 prefixed with your city code","Negative"
"173","congrats mumbai delhi bengaluruyou have done your share for cleaner airif you contributed
doyourshare","Positive"
"174","peeps ride an olalux before aug 23 amp you could win pvr gold class tickets 
","Positive"
"175","do it for your siblings happyrakshabandhan","Negative"
"176","whether youre in the same city or away therere somethings abt you only your sibling gets happyrakshabandhan","Negative"
"177","hyderabad open the ola app between 11am amp 3pm click on rakhi for a sweet surprise","Positive"
"178","so proud of sakshimalik driving indias dreams amp hopes at rio2016
you are the real superstar
thank you","Positive"
"179","well ridesharing would definitely help in reducing the traffic in bangalore even during the rains olashare","Positive"
"180","hyderabad the deadline has been extended till 5pm youve still got a couple of hours to be sweetly surprised","Positive"
"181","ridesharing would help a lot in reducing the traffic congestion as well olashare","Positive"
"182","india is a travelers paradise for offbeats destinations share one amp winolaoutstation","Positive"
"183","contest ale for all you avid travellersolaoutstation","Positive"
"184","were committed to make the roads safer for you proud to be the travel paner for national workshop on road safety","Positive"
"185","and suppo ridesharing a sureshot way to reduce traffic in the city olashare bengalurutraffic","Negative"
"186","today’s one day your boss won’t mind if you leave work early rush back to home to cheer for sindhu match stas at 655 pm gosindhu","Positive"
"187","leave work early and be home in time to watch pv sindhu serve you over gosindhu","Negative"
"188","use promo code sindhu and get rs 100 off on your ola ride between 5 and 6 today code applicable on mini prime amp lux gosindhu","Positive"
"189","go for it abhishek","Negative"
"190","we always love the way photos look on instagram so thats our preferred destination for cabtured","Positive"
"191","better to be early than late dont you think gosindhu","Positive"
"192","code is live pack up book your ride and head home 
gosindhu","Negative"
"193","for those who are just about to leave home validity of coupon code sindhu extended till 630pm gosindhu","Negative"
"194","we think it could and weve already staed implementing this in our cabs","Negative"
"195","rosary church seems like a very intriguing place olaoutstation","Positive"
"196","tamhini ghats is indeed an amazing place to visit olaoutstation offbeat","Positive"
"197","shop till you drop more details
shop now","Negative"
"198","are you a hardcore chennaiite ready to put your knowledge about the city you love to the test madrasday quiz coming up olamadras","Positive"
"199","contest ale the madrasday quiz coming upolamadras","Negative"
"200","coming soon madhanand spread the news","Negative"
"201","a months woh of free rides in chennai up for grabs olamadras madrasday","Positive"
"202","great choice olaoutstation","Positive"
"203","showcase your knowledge about chennai amp win free rides for a montholamadras madrasday","Positive"
"204","heres the first question q1 which film makers company is called madras talkies olamadras","Negative"
"205","winner of each question will get ola money amp the grand winner who gets all questions right gets free rides in chennai for a month olamadras","Positive"
"206","dont forget to follow us andthe contest tweet olamadras","Negative"
"207","the answer is indeed maniratnam congratzfor winning q1 
q2 coming right up olamadras","Positive"
"208","q2 corporation of madras is the oldest municipal body in the commonwealth nations outside britain when was it established olamadras","Positive"
"209","yep the answer is indeed 1688 congratsq3 coming next keep ing and spread the news olamadras","Negative"
"210","q3 pincode 600036 represents which area olamadras","Negative"
"211","that is the correct answer for q3 congrats olamadras","Positive"
"212","q4 bbq not referring to barbecue is a railway station code for which station olamadras","Negative"
"213","perfect answerq5 coming up soon","Positive"
"214","heres number 5 q5 what is the entire length of the marina beach olamadras","Negative"
"215","thats the correct answer to q5 congratsolamadras","Positive"
"216","in madras or chennai tamil slang when a person is called a ‘peter’ or a ‘mary’ what is he doing olamadras","Negative"
"217","hehe thats rightq7 coming next olamadras","Negative"
"218","q7 where in chennai would you have a hindu shrine a buddhist shrine and a church in one place olamadras","Positive"
"219","thats rightcongrats the next question coming up shoy olamadras","Negative"
"220","q8 which team did india face in the first test match played on the ground now called the ma chidambaram stadium olamadras","Negative"
"221","thats rightcongrats on getting q8 right q9 coming up olamadras","Positive"
"222","q9 this is one of the 4 national depository centres it receives a copy of all newspapers and books published in india olamadras","Negative"
"223","thats rightthe final question of olamadras coming up","Negative"
"224","here is the final question q10 what is the motto of the chennai corporation olamadras","Negative"
"225","congratulationson winning an allexpenses paid trip to dubai","Positive"
"226","that is indeed rightthe final grand prize will be announced in the next 15 mins olamadras","Positive"
"227","congrats to all the olamadras winners please dm us your full name phone number and email id grand prize winner to be announced sholy","Positive"
"228","grand prize winner for the madrasday quiz iscongrats mike dm your us full name phone number amp email address olamadras","Positive"
"229","jammedinacab","Negative"
"230","six tips to have a great experience on your olashare ride head here to read more","Positive"
"231","hi kumaran please dm your details to receive your prize for olamadras","Positive"
"232","roadtrip to wagah withampsee the amazing blr2border photos on","Positive"
"233","perhaps next time you could watch this instead 
","Negative"
"234","impressive indeed that wouldve been a ride to remember drivernowplaying","Positive"
"235","copassengerbelike sharetales","Negative"
"236","tried ridesharing that would help put lesser cars on the road thus reducing traffic olashare","Negative"
"237","we didnt have to our customers have done it for us","Negative"
"238","hey neha we have taken care of this peace","Positive"
"239","our first interactive post on fb chegg it out here 
olashareftw olashareprotips","Negative"
"240","any trips planned for the long weekend next week","Negative"
"241","well theres still a weeks time plan one rachit olaoutstation","Positive"
"242","we have a few coming up watch this spaceolaoutstation","Negative"
"243","awesome deepak","Positive"
"244","something awesome coming up stay tuned raj olaoutstation","Positive"
"245","guess we match better thansharetales","Positive"
"246","all the while doing your bit for environment great going akhil","Positive"
"247","right back at you deepika wish you a great day","Positive"
"248","love jazz music show us your jazzamp blues playlist and win passes for this event…
bangalore jazz","Positive"
"249","tell us your favourite jazz song amp win passes for indigo amp blues – international jazz amp blues festival 
bangalore","Positive"
"250","please dm us your email address and phone number asap thanks","Positive"
"251","please dm us your email address and phone number asap thanks","Positive"
"252","share names of littleknown travel destinations in india amp go on a trip sponsored by olaoutstation amp","Positive"
"253","if you are in varanasi you can help too were collecting relief material olaboat
read","Positive"
"254","thanks if you are in varanasi or allahabad were collecting relief material do help out olaboat","Positive"
"255","weve deployed olaboat to help ppl in flood effected areas in varanasi and allahabad you can help","Negative"
"256","open the ola app 27 29 aug from 8am6pm hit donate amp contribute olaboat read
","Positive"
"257","were glad that were able to help if you are in varanasi or allahabadplease help","Positive"
"258","hi please dm us your email id and phone number well get in touch with you very soon with the details","Positive"
"259","thank youfor the lovely words and the photos olalux","Positive"
"260","a stylish olalux ride withand","Positive"
"261","sharetales","Negative"
"262","while the upgrade mustve felt great its nowhere close to the glory yogeshwardutt has brought to the country","Positive"
"263","thank you for your donations amp relief suppo for those affected by the assamfloods thanks for these smiles","Positive"
"264","vote for the most offbeat weekend getaway and make the person who suggested the destination win olaoutstation","Positive"
"265","yash we have olashuttles in noida sec 62 palam vihar sohna rd transpoing people to the nearest metros spread the word","Negative"
"266","if youre stuck anywhere due to the delhirains let ola shuttle drop you to the nearest metro station stay safe","Positive"
"267","olashuttles in noida sector 62 munirka are transpoing people to the nearest metro st plzdelhirains","Negative"
"268","hi waqas this is a free service to help people stuck at waterlogged areas","Negative"
"269","thank youwe try to do everything to keep our cities moving","Positive"
"270","rush your entries in and win the contest ends tomorrowolaoutstation","Positive"
"271","were equally infuriated by the incident and are working hand in hand with the govt to ensure justice is done","Positive"
"272","happy to inspire such sweet thoughts","Positive"
"273","if youre stuck in delhirains tweet your location with olarescue amp well try to send our rescue team to help you stay safe please","Positive"
"274","itsa free service","Positive"
"275","congratulations megha please dm us your email address and phone number","Positive"
"276","congratulations kushal please dm us your email address and phone number","Positive"
"277","are you stuck in the rain can we help move you to a safer location olarescue","Negative"
"278","our team is out trying to help people stuck in delhirains please tweet your location if you need help olarescue","Positive"
"279","cabs will be available throughout","Positive"
"280","cocktail trivia name the fruit used to flavour southerncomfo amp win a pass for bangalores biggest pubcrawl","Positive"
"281","no olamoney javeed","Negative"
"282","were shocked to hear this our team is now at the airpo looking into the matter to avoid any such activitiesthanks","Negative"
"283","meenakshi you could use our ride later feature on the app and book yourself a ride in adv","Negative"
"284","you have both the options available to you have a safe trip","Positive"
"285","err guess we need to addhave a bath before you ride as one of the sharetips noted
","Positive"
"286","may the blessings of lord ganesh be always upon you happy ganeshchatuhi everyone","Positive"
"287","bangalores own edm festivalis happening on 10th sept amp we might have a contest for you folks
interestedto let us know","Negative"
"288","worry not rachit we may have something coming up for you fivesixzero edm","Negative"
"289","chiyaan fans ready to watch irumugan in the opening weekend we have something just for youand spread the word olairumugan chennai","Positive"
"290","contest ale irumugan tickets up for grabsolairumugan","Negative"
"291","chennai take an olashare amp share your osn for a chance to win irumugan tickets olairumugan dont forget to","Positive"
"292","olalux made especially for those who recognize style","Negative"
"293","or alternatively you could just olaprime it to work primewithwifi primeperks workfromola","Positive"
"294","all the best to our entire team at the paralympics","Positive"
"295","flash your ola mini or prime invoice at the counter and get 50 off to the land of thrill","Positive"
"296","chennai have you taken an olashare ride recently share your osn with the ht olairumugan amp win couple passes","Positive"
"297","chennai have you taken an olashare recently share your osn with the ht olairumugan amp win irumugan tickets","Positive"
"298","hey ashvin can you please dm us","Positive"
"299","share your osn and win olairumugan","Positive"
"300","dont forget to share your osn on twitter using the ht olairumugan","Negative"
"301","haha you guys we did fix the bill immediately though ps no engineers were harmed during this entire story","Negative"
"302","contest ale want to pay atin bangalore this weekend 

 to get staed","Negative"
"303","olaprimeandchill","Negative"
"304","lets sta fivesixzerowithola

show us your best edm moves to win couple passes forbangalore","Positive"
"305","explain edm in 3 words

best answers win passes for
bangalore fivesixzerowithola","Positive"
"306","congratsampfor winning in olairumugan share your osn amp win irumugan tickets","Positive"
"307","proud to announce indias first comprehensive program for 40kdrivers woh 400mn with","Positive"
"308","great going dr rashi","Positive"
"309","thumbs up to ola for taking it spoingly","Negative"
"310","relive the romance with simranamp raj head to ubcity in an olaprime to watch ddljlegendaryedition","Positive"
"311","thank you guys for paicipating in fivesixzerowithola we are going through the entries and well get in touch with the winners soon","Positive"
"312","hi sunil dm us for a surprise","Positive"
"313","olaprime presents restaurant week prebookings open for ola customers on 9septprimerwi","Negative"
"314","that depends what are you looking forluxurysedansuvminiauto all available on the ola app book now","Positive"
"315","welcome to the primelife friend wed like to take that rating up from pretty good to super awesome","Positive"
"316","restaurantweek is back folks make your reservations right away atprimerwi","Positive"
"317","ah we phell for it","Negative"
"318","hope this onam turns out to be a great celebration for you happyonam","Positive"
"319","sorry to hear this we do not allow discrimination on any grounds pl repo the crn you faced this on to","Negative"
"320","olalux a stylish ride for those who know the a of arriving","Positive"
"321","hey were glad we could be there","Positive"
"322","oh wow that looks sooooo good primerwi","Positive"
"323","andthank you for this wonderful oppounity it was really an offbeat experience","Positive"
"324","were with youanything to keep our folks moving safetyfirst","Negative"
"325","may we suggest olaprimesuv","Negative"
"326","autoconnect ftw","Negative"
"327","thinking within the box","Negative"
"328","hey mail us at alliancesatolacabsdotcom","Negative"
"329","in engineers we trustengineersday","Negative"
"330","were constantly educating our drivers against unpleasant personal habits sharing your feedback with the team thanks","Negative"
"331","we do have a feature that allows you to give directions to the driver","Negative"
"332","due to the fire incidentweve removed peak charges on all rides from kandivali lets keep mumbai moving olahelp","Negative"
"333","","Negative"
"334","dyk you can rent an ola for 48 hrs mini prime suv or lux choose your pick olarental cabthatwaits","Positive"
"335","offer get upto rs400 cashback on olarental with the code fbrentals read morecabthatwaits","Positive"
"336","fridayfeeling pub crawl pub crawif you wanna pub crawlmake sure you rent an ola for the night dontdrinkanddrive","Negative"
"337","hahaha welcome to the prime lifeit sure has its sideeffects olaprime wifirides","Positive"
"338","is it olaoutstation that you are looking for","Negative"
"339","autorecharge on olamoney is now live go ahead set it up and never run outta money omautorecharge","Positive"
"340","tried olamicro its always on discount 
ps we too love the videos","Positive"
"341","got password 
you dont need one with autoconnectwifi olaprime","Negative"
"342","clearly you havent read the right way to olashare","Positive"
"343","hey mumbai take atleast 3 prime rides amp get complimentary tickets to themudrush hurry offer ends tomorrow","Positive"
"344","","Negative"
"345","primesuv riders were in for a surprise meetingas their cab driver heres a sneakpeek olatestdrive","Positive"
"346","winners will get mud run amp pro race pass1 per winner amp
spectator pass2 per winner","Positive"
"347","tests his song harkat from his upcoming album with unwary riders in an ola primesuv olatestdrive","Positive"
"348","wallet recharge is a one time thing now update your ola app and activate auto recharge on olamoney","Negative"
"349","this indie musician turned an ola cab driver for a dayviaolatestdrive primesuv","Negative"
"350","how was it","Negative"
"351","welcome to the primelife friend","Positive"
"352","takes ola primesuv customers for a test drive viabrandequity olatestdrive","Negative"
"353","welcome to the primelife friend and life is definitely better with wifi","Positive"
"354","hey mumbai ready to win vip passes to bollywoodmusicproject check outolaprivileges roadtobmp","Positive"
"355","and you are the best harfan stay awesome n u have a gr8 day","Positive"
"356","how did you get to work today","Positive"
"357","heading back to the city from bangalore airpo get 30 of on all your rides into the city","Negative"
"358","singersongwritertakesprime suv customers for a test drive
","Negative"
"359","olaair","Negative"
"360","pick your favorite movie from the batman trilogy steppinoutwithbatman","Positive"
"361","any darkknight fans in hyderabad a cool contest is coming up for you folks

ready give us a few s to get staed","Positive"
"362","answer dark knight trivia and win movie passes to steppingout hyderabad detailssteppinoutwithbatman","Positive"
"363","q1 in the movie the dark knight bruce wayne drives a super car what is the name of the car dont forget tosteppinoutwithbatman","Positive"
"364","congrats javeed you have won yourself a couple pass please dm us your details steppinoutwithbatman","Positive"
"365","q2 how many academy award nominations did the dark knight movie get steppinoutwithbatman","Positive"
"366","thats right kushal congrats on winning q2 please dm your details 
q3 coming next steppinoutwithbatman","Positive"
"367","q3 which comic book adaptation did christopher nolan mainly use to script the dark knight steppinoutwithbatman dont forget to","Negative"
"368","congrats amardeep youve got it right pls dm your details q4 coming next steppingoutwithbatman","Positive"
"369","q4 according to the dark knight who gave harvey dent his special coin which he flips throughout the movie steppinoutwithbatman","Positive"
"370","congrats you have won a couples movie pass dm us your details steppinoutwithbatman","Positive"
"371","q5 which character is in charge of applied sciences in the batman trilogy steppinoutwithbatman","Negative"
"372","congrats you have won a couples movie pass dm us your details steppinoutwithbatman","Positive"
"373","hi sohini are you looking for a cab to travel with a friend you can also book 2 seats on an ola share ride hope this helps","Positive"
"374","due to the heavy hyderabadrains peak pricing has been disabled in the city please stay safe olahelp","Positive"
"375","it was our pleasure taking the future chaered account to college","Positive"
"376","good evening vivek how can we help you","Positive"
"377","please check dm","Positive"
"378","booked a doctors appointment onride to the clinic in comfo with olaprime amp get 100 off book now","Negative"
"379","heading to work take an ola share staing at just rs3km easy on the wallet and the planet book now","Positive"
"380","hey folks so how did you reach work today","Positive"
"381","and all the while doing your bit for the environment thanks for the shoutout abhishek","Positive"
"382","while you celebratewewillwait book ola rental on hourly packages for more convenience for offers click on","Positive"
"383","need a ride ask siri to book you an ola get the latest version of the ola app and ios10 and let siri take it from there sirigetsola","Negative"
"384","anyone here interested in tickets for bollywoodmusicproject cool contest coming up for our folks in mumbai
give us a few s to sta","Positive"
"385","show us a video of you singing arijitsingh or badshah songs well pick the best crooner as the winners
bmpwithola bollywoodmusicproject","Positive"
"386","hyderabad take an ola ride amp get 85 discount on the apollo cardiovascular check upolaprivileges worldheaday","Negative"
"387","sure","Negative"
"388","were overjoyed to hear that you had an awesome experience shirish dont forget to share your photos olaoutstation","Positive"
"389","congratsandyouve won yourselves tickets to the bollywoodmusicproject please check your dm bmpwithola","Positive"
"390","we have a few ipadminifor ourusers interested 

 this to get the contest staed","Positive"
"391","contest ale win an ipadmini with


ready","Positive"
"392","wish there were a few things in life that you could do basekbaar amp forget abouttell us about 2 such things amp best answers win ipadmini","Positive"
"393","set up your credit card forautorecharge amp never worry about running out of money on your cab rides activate now basekbaar","Positive"
"394","you win woot woot

please send us your name and postal address basekbaar","Positive"
"395","an ipad mini is coming to you please send us your full name phone number and postal address
basekbaar","Positive"
